,ticker,figi,type,name
109,VAL,BBG010JW9K49,shares,Valaris Limited
110,BJ,BBG00FQ8T4G3,shares,"BJs Wholesale Club Holdings, Inc."
111,IRBT,BBG000HXJB21,shares,iRobot Corp
112,VMC,BBG000BWGYF8,shares,Vulcan Materials
113,NTAP,BBG000FP1N32,shares,NetApp
114,MRKV,BBG000PKWCQ7,shares,МРСК Волги
115,SMG,BBG000BT5PG5,shares,Scotts Miracle-Gro Co The
116,ALE,BBG000CYW7N5,shares,"ALLETE, Inc."
117,BAH,BBG000R2YFG7,shares,Booz Allen Hamilton
118,WMT,BBG000BWXBC2,shares,Wal-Mart Stores
119,TSN,BBG000DKCC19,shares,Tyson Foods
120,RXRX,BBG00PQ4XJ45,shares,"Recursion Pharmaceuticals, Inc."
121,HPQ,BBG000KHWT55,shares,HP
122,NTR,BBG00JM9XLN6,shares,Nutrien
123,AOUT,BBG00QV8FS02,shares,American Outdoor Brands Inc
124,RGLD,BBG000BS5170,shares,Royal Gold
125,PAY,BBG010MW0N84,shares,Paymentus Holdings
126,SAGE,BBG0025X16Y5,shares,Sage Therapeutics Inc
127,BIGC,BBG00W1PSSJ0,shares,BigCommerce Holdings
128,G,BBG000RQBFV2,shares,Genpact Limited
129,GLW,BBG000BKFZM4,shares,Corning
130,WLK,BBG000PXZFW2,shares,Westlake Corporation
131,HEAR,BBG000BM6N47,shares,Turtle Beach Corp
132,1061,BBG000JHS2L3,shares,Essex Bio-Technology
133,QRTEA,BBG000PCQQL6,shares,Qurate Retail Inc
134,CAT,BBG000BF0K17,shares,Caterpillar
135,NEM,BBG000BPWXK1,shares,Newmont Goldcorp Corporation
136,MIDD,BBG000DQN9R3,shares,Middleby Corp The
137,YUMC,BBG00B8N0HG1,shares,Yum China Holdings
138,LYFT,BBG004M9ZHX5,shares,Lyft Inc
139,EGRX,BBG005Y3XWH9,shares,Eagle Pharmaceuticals Inc
140,VSMO,BBG004S68CV8,shares,ВСМПО-АВИСМА
141,CERE,BBG00VCYVLH4,shares,Cerevel Therapeutics Holdings
142,AZTA,BBG000DX9JV7,shares,Azenta
143,BDTX,BBG00MS4Y0W9,shares,Black Diamond Therapeutics Inc
144,DIS,BBG000BH4R78,shares,Walt Disney
145,WK,BBG007BVZ8H9,shares,Workiva Inc
146,TKO,BBG01G9JKWV5,shares,TKO Group Holdings
147,GDEV,BBG00Z5KBW72,shares,Nexters Inc
148,STWD,BBG000M1J270,shares,Starwood Property Trust REIT
149,FIVE@GS,TCS4387E2054,shares,X5 RetailGroup ГДР
150,SPR,BBG000PRJ2Z9,shares,Spirit AeroSystems Holdings
151,BUD,BBG000RYC984,shares,Anheuser-Busch InBev
152,FRME,BBG000BBSJ28,shares,First Merchants Corporation
153,UNAC,BBG000Q7ZZY2,shares,Объединенная авиастроительная корпорация
154,TPR,BBG000BY29C7,shares,Tapestry
155,RSG,BBG000BPXVJ6,shares,Republic Services
156,AI,BBG00Y6G6X31,shares,C3 Ai Inc
157,MMC,BBG000BP4MH0,shares,Marsh & McLennan
158,LSRG,BBG004S68C39,shares,Группа ЛСР
159,NTRS,BBG000BQ74K1,shares,Northern Trust
160,SKY,BBG000BT2TP0,shares,Skyline Champion
161,BZUN,BBG008HNS333,shares,Baozun Inc
162,FTCI,BBG0320C1036,shares,"FTC Solar, Inc."
163,SXI,BBG000BTT5B8,shares,Standex International Corp
164,DRQ,BBG000BVDBY2,shares,Dril-Quip Inc
